stageNames;nEntries;nLocs;nReps;nChks;entryToChkRatio;trainingPopCycles;errVars;PlantsPerPlot
SDN;15000;1;1;5;1500;20;10000;1
CET;1500;2;1;5;50;20;3000;10
PYT;150;3;3;4;25;20;1800;42
AYT;30;7;3;2;20;20;1800;42
