stageNames;nEntries;nLocs;nReps;nChks;entryToChkRatio;trainingPopCycles;errVars;PlantsPerPlot
CET;2500;1;1;5;50;20;3539.205;10
PYT;800;2;3;4;25;20;1953.093;10
AYT;80;3;3;2;20;20;2881.138;25
UYT1;30;5;3;2;20;20;1739.264;42
UYT2;30;5;3;2;20;20;1739.264;42
