stageNames;nEntries;nLocs;nReps;nChks;entryToChkRatio;trainingPopCycles;errVars;PlantsPerPlot
SDN;15000;1;1;5;1500;20;10000;1
CET;1500;2;1;5;50;20;3500;5
PYT;150;4;1;4;25;20;2000;25
AYT;30;8;3;2;20;20;2000;25
