id,gebv,pop,year,stage,bv,gv
776689,73.0524562970251,c,58,6,46.4700296710339,682.475066678249
777040,59.1462355753208,c,58,6,56.5412426094911,670.18931749858
777247,53.8820031983999,c,58,6,50.5157366785698,665.994220289134
777770,58.5789159028754,c,58,6,13.0018209312709,627.82082579106
778699,61.4608598579025,c,58,6,46.3184789838737,682.572893590562
778743,31.8672818342946,c,58,6,33.1382166949653,659.490558029183
778809,61.2200406791052,c,58,6,36.2517403938059,656.468323144941
778833,62.2161951420349,c,58,6,32.3772138475612,667.538684939111
779123,65.6359245643098,c,58,6,48.543157788594,665.334382565356
779126,51.2292012001013,c,58,6,30.7960373236361,656.204614474575
779138,80.062208276577,c,58,6,60.6335165896027,704.892810219067
779154,50.1711482861677,c,58,6,28.4574442601115,641.647279286286
779322,83.3719742831816,c,58,6,64.0602047451104,686.184687267748
779387,62.2439231476796,c,58,6,55.010786035419,680.263803875846
779393,60.0133506643782,c,58,6,87.8030588224204,699.87598683685
779398,48.9271284606395,c,58,6,63.0355252688262,682.028492576333
779403,74.0560213649155,c,58,6,47.2312664207656,665.892613960027
779757,69.4827277433992,c,58,6,25.5207058818871,647.369585815559
780126,56.1071826751304,c,59,5,29.4358654675146,649.043210346583
780601,54.16600312234,c,59,5,22.3108349518603,651.394816180179
781160,49.8814849062314,c,59,5,25.3672514963051,650.909413179656
781716,57.7628050176108,c,59,5,34.7893135096976,669.456443673229
781847,43.4710030267496,c,59,5,-0.603400261490184,625.417147145391
782125,47.6088680686795,c,59,5,43.5672842590024,651.879873885316
782540,47.0470945926244,c,59,5,27.0832613993709,632.030677492182
783004,47.6388186276934,c,59,5,14.3044941769766,631.47058777658
783031,53.2364434456692,c,59,5,48.4648735568119,665.464483527499
783080,48.0465134793461,c,59,5,45.0106392290786,649.418441184538
783242,64.1595448316847,c,59,5,26.6332795527087,669.425230275225
783559,56.2517758827641,c,59,5,66.7968522727155,687.031246658762
784421,38.1280955149098,c,59,5,38.7173212486871,668.069894729109
785821,45.2083911369366,c,59,5,23.7373394012881,651.969982810225
785918,51.8807986090353,c,59,5,69.1128597006829,693.761403145211
785921,66.4978167731458,c,59,5,78.1582209147368,694.769905960964
785963,42.8194003238103,c,59,5,45.2662069368963,670.20652300266
786033,39.9849187960462,c,59,5,9.06872108249909,628.59616086615
786248,56.4676262349842,c,59,5,24.9476879758222,662.130426029319
