id,gebv,pop,year,stage,bv,gv
768008,27.9589858135439,c,58,6,-10.6685893027443,616.960273556265
769692,32.8487707238429,c,58,6,26.3753521205182,651.653833421684
769865,32.7426813293185,c,58,6,29.8908764519034,646.985233237146
770683,51.3988040392146,c,58,6,46.0197176364367,666.214198342675
771087,23.8752238221124,c,58,6,25.7561099881986,639.683968254812
771669,40.3879970876916,c,58,6,49.592706954771,662.243359654811
772105,49.8161148933501,c,58,6,27.0933493511888,646.257117029338
772492,69.8934772691266,c,58,6,75.8041532400557,694.542745855237
773268,35.0486375315194,c,58,6,21.982371249394,662.541397331045
773372,42.484143118164,c,58,6,19.9389024722902,659.376931760747
773948,45.5803494729107,c,58,6,33.7206721317692,642.3733375708
774186,50.5880583885501,c,58,6,44.3542630874611,645.883674717212
774346,50.6043519844938,c,58,6,16.6842545737898,627.09667809753
774405,48.7047418224103,c,58,6,6.20373681489231,612.937627444932
774462,41.2280281291415,c,58,6,52.9760593529529,658.943075070221
774485,33.7772677133279,c,58,6,43.2112694106216,633.525011331774
775245,54.6879511783598,c,58,6,21.6942855661847,661.679258926868
776348,46.5514297239449,c,58,6,37.5447386984361,663.280646531802
776433,47.4615971535406,c,58,6,63.8138453827462,659.134550635744
776443,52.5522621119775,c,58,6,30.4517404452302,670.641088394896
776486,41.5019712573486,c,58,6,-11.2390773017494,617.97186957246
776679,49.9783005198789,c,58,6,22.6089257761102,647.117625006598
777195,54.0747010527369,c,58,6,54.5052001385436,668.130995477033
777913,48.3932814288311,c,58,6,54.8432299305718,658.022482668183
777927,48.4604115536195,c,58,6,77.6848466073057,683.478736983053
778717,58.715198419512,c,58,6,29.7762267095901,629.237165975374
779036,54.026839532772,c,58,6,54.5110565138937,689.191592047497
779569,38.5608667711978,c,58,6,-6.85697937845231,624.611670927426
779906,51.5235027231846,c,58,6,57.8654924038278,670.276522017964
779963,37.1236547978805,c,58,6,33.6364097543103,630.777324181936
780047,41.7141495303119,c,59,5,20.9943890649564,648.35301364138
780159,53.0819939199988,c,59,5,32.8681090438822,662.786860049471
780977,52.8102302973688,c,59,5,35.1278894358744,657.391323506215
781079,39.828606310085,c,59,5,26.1667560169006,648.98542650105
781229,57.2267676520279,c,59,5,32.5573043393728,662.327801421659
781485,44.2689164947209,c,59,5,59.1596899840189,652.068912235856
781585,46.9169943964686,c,59,5,14.8591832663937,637.279204512892
781628,52.9186335821452,c,59,5,35.2902732087125,654.434220853938
782683,47.830281121182,c,59,5,44.2455591467944,680.773376128429
782689,49.2246610306922,c,59,5,25.5471325100554,656.22385558195
782866,47.4159158512496,c,59,5,39.9880498625113,626.457750820157
783006,49.3618322751245,c,59,5,19.5588502712252,641.057813550008
783284,48.2628861165578,c,59,5,28.325737442843,652.155418695267
783792,39.3948148924343,c,59,5,11.3425307641462,642.522617690657
784250,45.8051121331317,c,59,5,31.1672173353248,649.302792644694
784311,51.7266046281734,c,59,5,50.1163529513871,649.183888266916
784320,51.3643727100165,c,59,5,67.5221690694255,670.632809236537
785055,52.7887692708168,c,59,5,35.8761968508695,651.927269166361
785707,52.9384320720234,c,59,5,52.995501569524,672.568101232454
785767,53.3784224906169,c,59,5,32.8828814519544,648.129707796729
786377,48.4814530571229,c,59,5,40.8932125063455,640.110344580017
786617,58.0874032996287,c,59,5,29.0783613673502,619.669173099379
786776,40.6275070740887,c,59,5,34.1611017801884,617.821509188042
787015,43.8179100192102,c,59,5,14.5860025737193,634.026989814431
787394,45.8761285771057,c,59,5,28.8310788420139,668.640672393933
787762,39.4116971658019,c,59,5,12.4981299138825,634.794175339916
788271,47.0849150152389,c,59,5,33.8887004537242,652.820682059936
788898,48.7938909099569,c,59,5,72.3065520240949,693.308672114174
788904,47.1759400936145,c,59,5,37.6214340197852,655.489479459322
790497,48.4981489071975,c,59,5,14.461520047256,644.568858745684
