Replicate,YearProgeny,StageParents,NumberParents
1,25,CET,45
1,26,CET,100
1,27,AYT,1
1,27,CET,99
1,28,CET,100
1,29,AYT,3
1,29,CET,97
1,30,CET,99
1,31,CET,100
2,25,CET,50
2,26,CET,97
2,27,AYT,1
2,27,CET,99
2,28,CET,100
2,29,AYT,1
2,29,CET,99
2,30,CET,100
2,31,AYT,1
2,31,CET,99
3,25,CET,35
3,26,CET,96
3,27,CET,99
3,28,AYT,1
3,28,CET,99
3,29,AYT,1
3,29,CET,99
3,30,CET,100
3,31,CET,100
4,25,CET,47
4,26,CET,96
4,27,CET,99
4,28,AYT,1
4,28,CET,99
4,29,AYT,1
4,29,CET,99
4,30,CET,100
4,31,CET,100
5,25,CET,45
5,26,CET,99
5,27,AYT,1
5,27,CET,98
5,28,AYT,1
5,28,CET,99
5,29,AYT,1
5,29,CET,99
5,30,CET,100
5,31,CET,100
6,25,AYT,1
6,25,CET,50
6,26,CET,96
6,27,CET,99
6,28,CET,100
6,29,AYT,2
6,29,CET,98
6,30,AYT,1
6,30,CET,99
6,31,CET,100
7,25,CET,50
7,26,PYT,3
7,26,CET,96
7,27,CET,100
7,28,AYT,2
7,28,PYT,4
7,28,CET,94
7,29,CET,100
7,30,CET,100
7,31,CET,100
8,25,CET,38
8,26,AYT,1
8,26,CET,96
8,27,CET,100
8,28,CET,100
8,29,PYT,1
8,29,CET,99
8,30,AYT,1
8,30,CET,99
8,31,CET,100
9,25,CET,44
9,26,CET,99
9,27,AYT,1
9,27,CET,98
9,28,AYT,2
9,28,CET,98
9,29,AYT,1
9,29,CET,99
9,30,AYT,1
9,30,CET,99
9,31,AYT,1
9,31,CET,99
10,25,CET,54
10,26,AYT,2
10,26,CET,96
10,27,AYT,1
10,27,CET,98
10,28,AYT,1
10,28,CET,99
10,29,CET,100
10,30,CET,100
10,31,CET,100
11,25,CET,45
11,26,CET,99
11,27,CET,100
11,28,CET,100
11,29,CET,100
11,30,CET,100
11,31,CET,100
12,25,CET,48
12,26,PYT,1
12,26,CET,97
12,27,AYT,1
12,27,CET,99
12,28,AYT,2
12,28,CET,98
12,29,CET,100
12,30,CET,100
12,31,AYT,1
12,31,CET,99
13,25,CET,46
13,26,PYT,1
13,26,CET,97
13,27,AYT,1
13,27,CET,99
13,28,CET,100
13,29,CET,100
13,30,AYT,1
13,30,CET,98
13,31,CET,100
14,25,CET,47
14,26,CET,99
14,27,AYT,1
14,27,CET,98
14,28,CET,100
14,29,CET,100
14,30,CET,100
14,31,CET,100
15,25,CET,44
15,26,CET,100
15,27,CET,100
15,28,CET,100
15,29,CET,99
15,30,AYT,1
15,30,CET,99
15,31,CET,100
16,25,AYT,1
16,25,CET,49
16,26,AYT,1
16,26,CET,96
16,27,CET,100
16,28,AYT,1
16,28,CET,99
16,29,CET,100
16,30,CET,100
16,31,CET,100
17,25,CET,47
17,26,AYT,1
17,26,CET,97
17,27,CET,100
17,28,CET,100
17,29,CET,100
17,30,AYT,1
17,30,CET,99
17,31,CET,100
18,25,CET,54
18,26,CET,98
18,27,CET,100
18,28,AYT,4
18,28,CET,96
18,29,CET,100
18,30,AYT,1
18,30,CET,99
18,31,CET,100
19,25,CET,49
19,26,CET,97
19,27,AYT,1
19,27,CET,99
19,28,CET,100
19,29,AYT,1
19,29,CET,99
19,30,CET,100
19,31,CET,100
20,25,CET,54
20,26,CET,97
20,27,AYT,1
20,27,CET,99
20,28,AYT,1
20,28,CET,99
20,29,CET,100
20,30,CET,100
20,31,CET,100
21,25,CET,47
21,26,CET,100
21,27,CET,100
21,28,CET,100
21,29,CET,100
21,30,CET,100
21,31,CET,100
22,25,CET,48
22,26,AYT,1
22,26,CET,96
22,27,CET,100
22,28,AYT,1
22,28,CET,99
22,29,CET,100
22,30,CET,100
22,31,CET,100
23,25,CET,47
23,26,AYT,1
23,26,CET,93
23,27,CET,99
23,28,CET,100
23,29,CET,100
23,30,AYT,1
23,30,CET,99
23,31,CET,99
24,25,CET,54
24,26,CET,98
24,27,AYT,1
24,27,CET,99
24,28,CET,100
24,29,AYT,1
24,29,CET,99
24,30,CET,100
24,31,CET,100
25,25,CET,44
25,26,CET,98
25,27,AYT,1
25,27,CET,99
25,28,CET,100
25,29,AYT,1
25,29,PYT,4
25,29,CET,95
25,30,AYT,1
25,30,CET,99
25,31,PYT,3
25,31,CET,97
26,25,CET,45
26,26,CET,99
26,27,CET,100
26,28,PYT,1
26,28,CET,99
26,29,CET,100
26,30,CET,100
26,31,CET,100
27,25,CET,49
27,26,AYT,2
27,26,CET,95
27,27,PYT,2
27,27,CET,98
27,28,AYT,1
27,28,CET,99
27,29,PYT,1
27,29,CET,99
27,30,AYT,1
27,30,CET,99
27,31,PYT,1
27,31,CET,99
28,25,CET,49
28,26,CET,94
28,27,CET,100
28,28,CET,100
28,29,CET,100
28,30,CET,100
28,31,CET,100
29,25,CET,52
29,26,CET,99
29,27,AYT,1
29,27,CET,99
29,28,CET,100
29,29,CET,100
29,30,CET,100
29,31,CET,100
30,25,AYT,1
30,25,CET,38
30,26,PYT,1
30,26,CET,97
30,27,AYT,1
30,27,CET,99
30,28,PYT,2
30,28,CET,98
30,29,CET,100
30,30,AYT,1
30,30,CET,99
30,31,CET,100
31,25,AYT,1
31,25,CET,43
31,26,CET,98
31,27,AYT,1
31,27,CET,99
31,28,CET,100
31,29,AYT,1
31,29,CET,99
31,30,AYT,1
31,30,CET,99
31,31,AYT,2
31,31,CET,98
32,25,CET,51
32,26,CET,98
32,27,CET,100
32,28,CET,100
32,29,CET,100
32,30,AYT,1
32,30,CET,99
32,31,CET,100
33,25,CET,56
33,26,CET,97
33,27,AYT,1
33,27,CET,99
33,28,CET,100
33,29,AYT,1
33,29,CET,99
33,30,PYT,1
33,30,CET,99
33,31,AYT,1
33,31,CET,99
34,25,AYT,3
34,25,CET,50
34,26,CET,99
34,27,CET,100
34,28,PYT,1
34,28,CET,99
34,29,CET,100
34,30,PYT,2
34,30,CET,98
34,31,CET,100
35,25,AYT,1
35,25,CET,50
35,26,AYT,1
35,26,CET,95
35,27,AYT,1
35,27,CET,99
35,28,AYT,1
35,28,CET,99
35,29,CET,100
35,30,AYT,1
35,30,CET,99
35,31,CET,100
36,25,CET,47
36,26,CET,96
36,27,CET,100
36,28,AYT,1
36,28,CET,99
36,29,CET,100
36,30,AYT,1
36,30,CET,99
36,31,CET,100
37,25,CET,51
37,26,CET,96
37,27,AYT,1
37,27,CET,99
37,28,AYT,1
37,28,CET,99
37,29,CET,100
37,30,CET,100
37,31,CET,100
38,25,CET,48
38,26,AYT,1
38,26,CET,97
38,27,CET,100
38,28,CET,100
38,29,AYT,2
38,29,CET,98
38,30,CET,100
38,31,AYT,1
38,31,CET,99
39,25,CET,44
39,26,CET,96
39,27,AYT,1
39,27,CET,98
39,28,PYT,1
39,28,CET,99
39,29,AYT,2
39,29,CET,98
39,30,AYT,1
39,30,CET,99
39,31,CET,100
40,25,CET,47
40,26,CET,96
40,27,CET,100
40,28,CET,100
40,29,CET,100
40,30,CET,100
40,31,AYT,1
40,31,CET,99
